,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
74,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,espressamente illy,43.72629982857244,-79.45226418913342,Café
75,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Booster Juice,43.72634595,-79.45173423,Juice Bar
76,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Topman,43.725752830163216,-79.45496511150792,Clothing Store
77,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Chapters,43.727127,-79.451858,Bookstore
78,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Tora Aburi Sushi,43.724257,-79.455383,Sushi Restaurant
79,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,TTC Platform Yorkdale,43.72508436920864,-79.44763384127717,Platform
80,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Yorkdale Subway Station,43.725292803673206,-79.44782181921485,Metro Station
81,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,TTC Gateway Yorkdale,43.72522592934833,-79.44778441146707,Convenience Store
82,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Queen's Park,43.66394609897775,-79.39217952520835,Park
83,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Philosopher's Walk,43.666893747498605,-79.39559698104858,Park
84,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
85,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Koerner Hall,43.667983280307865,-79.3959619437764,Concert Hall
86,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Royal Ontario Museum,43.668367065616046,-79.3948129405877,Museum
87,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Isabel Bader Theatre,43.66732927030892,-79.39260350506324,College Theater
88,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,ROM Museum Store,43.66851433563614,-79.39487921364,Gift Shop
89,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Royal Conservatory of Music,43.66822758218325,-79.39631143267306,Music School
90,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Royal Ontario Museum - ROM Governors,43.66822609094647,-79.39380136609779,Office
91,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Remenyi House of Music,43.66831120943481,-79.39584578950773,Music Store
92,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,SEPHORA,43.668819,-79.392916,Cosmetics Shop
93,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Tabriz Persian Cookhouse,43.66533,-79.387484,Persian Restaurant
94,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Gardiner Museum,43.66800862048502,-79.39333429209415,Art Museum
95,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Museum Tavern,43.668389856295185,-79.3957298399421,Restaurant
96,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,B Espresso Bar,43.668143372259195,-79.39608691203554,Coffee Shop
97,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Second Cup,43.66549422185526,-79.38765204858025,Coffee Shop
98,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Hero Certified Burgers,43.66506305816304,-79.38729454806868,Burger Joint
99,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Club Monaco,43.66878829263775,-79.39368661201557,Clothing Store
100,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Coffee Island,43.66427089680226,-79.38697157138014,Coffee Shop
101,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Crown Princess Fine Dining 伯爵名宴,43.66645492941117,-79.38769789187712,Chinese Restaurant
102,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Subway,43.66752691678821,-79.3889189535447,Sandwich Place
103,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Second Cup Coffee Co.,43.66535,-79.398376,Café
104,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Mullins Irish Alehouse,43.666303328791415,-79.38793556939271,Pub
105,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Toni & Guy,43.66844441317472,-79.39480835917645,Salon / Barbershop
106,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,The Roof Lounge,43.66870073654308,-79.39459434871884,Hotel Bar
107,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Subway,43.66448931335139,-79.39911750609278,Sandwich Place
108,"Queen's Park, Ontario Provincial Government",43.66448974609375,-79.39302062988281,Pizza Nova,43.66539506806199,-79.3874611023422,Pizza Place
